date,revenue,orders,avg_ticket,avg_wait,avg_satisfaction,repeat_rate
2025-01-01,86624.0,14,6187.428571428572,10.514285714285714,4.45,0.21428571428571427
2025-01-02,124143.0,27,4597.888888888889,9.307407407407409,4.503703703703703,0.3333333333333333
2025-01-03,69905.0,16,4369.0625,8.33125,4.68125,0.5
2025-01-04,73880.0,13,5683.076923076923,9.938461538461537,4.438461538461539,0.23076923076923078
2025-01-05,57667.0,12,4805.583333333333,7.758333333333333,4.316666666666666,0.3333333333333333
2025-01-06,86053.0,15,5736.866666666667,9.466666666666667,4.533333333333333,0.2
2025-01-07,57095.0,15,3806.3333333333335,11.573333333333332,4.319999999999999,0.2
2025-01-08,71816.0,15,4787.733333333334,9.966666666666667,4.3133333333333335,0.3333333333333333
2025-01-09,89323.0,19,4701.210526315789,11.478947368421052,4.4526315789473685,0.15789473684210525
2025-01-10,133030.0,21,6334.761904761905,10.30952380952381,4.447619047619048,0.2857142857142857
2025-01-11,46939.0,10,4693.9,9.84,4.39,0.4
2025-01-12,75889.0,19,3994.157894736842,9.200000000000001,4.531578947368421,0.42105263157894735
2025-01-13,59816.0,17,3518.5882352941176,8.270588235294117,4.647058823529412,0.35294117647058826
2025-01-14,77658.0,17,4568.117647058823,8.058823529411764,4.629411764705883,0.23529411764705882
2025-01-15,83563.0,18,4642.388888888889,8.744444444444445,4.644444444444444,0.16666666666666666
2025-01-16,78925.0,16,4932.8125,9.725,4.54375,0.1875
2025-01-17,67247.0,19,3539.315789473684,9.08421052631579,4.542105263157895,0.21052631578947367
2025-01-18,61496.0,15,4099.733333333334,7.906666666666666,4.54,0.26666666666666666
2025-01-19,100158.0,24,4173.25,7.179166666666667,4.6375,0.16666666666666666
2025-01-20,63002.0,10,6300.2,11.75,4.41,0.2
2025-01-21,92412.0,21,4400.571428571428,11.095238095238095,4.419047619047619,0.3333333333333333
2025-01-22,82726.0,20,4136.3,9.02,4.475,0.25
2025-01-23,84214.0,19,4432.315789473684,9.799999999999999,4.5473684210526315,0.3684210526315789
2025-01-24,65637.0,13,5049.0,9.330769230769231,4.446153846153846,0.38461538461538464
